origin_name,verify_name,url
翔鹤级/Shokaku,翔鹤级/Shokaku,https://baike.baidu.com/item/%E7%BF%94%E9%B9%A4%E7%BA%A7/Shokaku
加贺号/Kaga航空母舰,<em>加贺号航空母舰</em>,https://baike.baidu.com/item/%E5%8A%A0%E8%B4%BA%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/7614209
赤城号/Akagi 航空母舰,<em>赤城号航空母舰</em>,https://baike.baidu.com/item/%E8%B5%A4%E5%9F%8E%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1373597
龙骧号/Ryujo轻型航空母舰,<em>龙骧号</em>,https://baike.baidu.com/item/%E9%BE%99%E9%AA%A7%E5%8F%B7/1541833
苍龙级/Soryu 航空母舰,<em>苍龙级</em>,/item/%E8%8B%8D%E9%BE%99%E7%BA%A7%E4%B8%AD%E5%9E%8B%E8%88%B0%E9%98%9F%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
云龙级/Unryu,云龙级/Unryu,https://baike.baidu.com/item/%E4%BA%91%E9%BE%99%E7%BA%A7/Unryu
飞龙号/Hiryu航空母舰,<em>飞龙号航空母舰</em>,https://baike.baidu.com/item/%E9%A3%9E%E9%BE%99%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/4717214
祥凤级/Shoho 航空母舰,<em>祥凤</em>,https://baike.baidu.com/item/%E7%A5%A5%E5%87%A4%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3911864
瑞凤号/Zuiho 航空母舰,<em>瑞凤号</em>,https://baike.baidu.com/item/%E7%91%9E%E5%87%A4%E5%8F%B7(Zuiho)%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8023180
龙凤号/Ryuho,龙凤号/Ryuho,https://baike.baidu.com/item/%E9%BE%99%E5%87%A4%E5%8F%B7/Ryuho
大凤号/Taiho航空母舰,<em>大凤号航空母舰</em>,https://baike.baidu.com/item/%E5%A4%A7%E5%87%A4%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/7878644
秋津洲号/Akitsushima 航空母舰,<em>秋津洲号/akitsushima</em>,/item/%E7%A7%8B%E6%B4%A5%E6%B4%B2%E5%8F%B7%2Fakitsushima
日进号/Nisshin 航空母舰,<em>日进号/nisshin</em>,/item/%E6%97%A5%E8%BF%9B%E5%8F%B7%2Fnisshin
若宫号/Wakamiya 航空母舰,<em>若宫号</em>,https://baike.baidu.com/item/%E8%8B%A5%E5%AE%AB%E5%8F%B7%E6%B0%B4%E4%B8%8A%E9%A3%9E%E6%9C%BA%E6%AF%8D%E8%88%B0/1873151
能登吕号/Notoro 航空母舰,<em>能登吕号</em>,https://baike.baidu.com/item/%E8%83%BD%E7%99%BB%E5%90%95%E5%8F%B7%E6%B0%B4%E4%B8%8A%E9%A3%9E%E6%9C%BA%E6%AF%8D%E8%88%B0/5175524
